Column,DataType
chance_of_playing_next_round,float64
code,int64
cost_change_event,int64
cost_change_event_fall,int64
cost_change_start,int64
cost_change_start_fall,int64
dreamteam_count,int64
element_type,int64
ep_next,float64
event_points,int64
first_name,object
form,float64
id,int64
in_dreamteam,bool
news,object
news_added,object
now_cost,float64
photo,object
points_per_game,float64
second_name,object
selected_by_percent,float64
special,bool
status,object
team,int64
team_code,int64
total_points,int64
transfers_in,int64
transfers_in_event,int64
transfers_out,int64
transfers_out_event,int64
value_form,float64
value_season,float64
web_name,object
minutes,int64
goals_scored,int64
assists,int64
clean_sheets,int64
goals_conceded,int64
own_goals,int64
penalties_saved,int64
penalties_missed,int64
yellow_cards,int64
red_cards,int64
saves,int64
bonus,int64
bps,int64
influence,float64
creativity,float64
threat,float64
ict_index,float64
starts,int64
expected_goals,float64
expected_assists,float64
expected_goal_involvements,float64
expected_goals_conceded,float64
influence_rank,int64
influence_rank_type,int64
creativity_rank,int64
creativity_rank_type,int64
threat_rank,int64
threat_rank_type,int64
ict_index_rank,int64
ict_index_rank_type,int64
corners_and_indirect_freekicks_order,float64
direct_freekicks_order,float64
penalties_order,float64
expected_goals_per_90,float64
saves_per_90,float64
expected_assists_per_90,float64
expected_goal_involvements_per_90,float64
expected_goals_conceded_per_90,float64
goals_conceded_per_90,float64
now_cost_rank,int64
now_cost_rank_type,int64
form_rank,int64
form_rank_type,int64
points_per_game_rank,int64
points_per_game_rank_type,int64
selected_rank,int64
selected_rank_type,int64
starts_per_90,float64
clean_sheets_per_90,float64
name_substring,object
team_id,float64
name,object
position,object
ict_index_gw,float64
opponent_team,float64
starts_gw,float64
total_points_gw,float64
transfers_balance,float64
value,float64
was_home,object
avg_home_difficulty,float64
avg_away_difficulty,float64
avg_difficulty,float64
opponent_team_difficulty,float64
