team,avg_home_difficulty,avg_away_difficulty,avg_difficulty,team_id
Arsenal,2.526315789473684,2.9473684210526314,2.7368421052631575,1
Aston Villa,2.6315789473684212,3.0,2.8157894736842106,2
Bournemouth,2.6842105263157894,3.1052631578947367,2.894736842105263,3
Brentford,2.6842105263157894,3.1052631578947367,2.894736842105263,4
Brighton,2.6842105263157894,3.1052631578947367,2.894736842105263,5
Chelsea,2.6315789473684212,3.0,2.8157894736842106,6
Crystal Palace,2.6842105263157894,3.0526315789473686,2.8684210526315788,7
Everton,2.6842105263157894,3.0526315789473686,2.8684210526315788,8
Fulham,2.6842105263157894,3.0526315789473686,2.8684210526315788,9
Ipswich,2.6842105263157894,3.1052631578947367,2.894736842105263,10
Leicester,2.6842105263157894,3.1052631578947367,2.894736842105263,11
Liverpool,2.5789473684210527,2.9473684210526314,2.763157894736842,12
Man City,2.526315789473684,2.9473684210526314,2.7368421052631575,13
Man Utd,2.6315789473684212,3.0526315789473686,2.8421052631578947,14
Newcastle,2.6315789473684212,3.0,2.8157894736842106,15
Nott'm Forest,2.6842105263157894,3.1052631578947367,2.894736842105263,16
Southampton,2.6842105263157894,3.1052631578947367,2.894736842105263,17
Spurs,2.6315789473684212,3.0,2.8157894736842106,18
West Ham,2.6842105263157894,3.1052631578947367,2.894736842105263,19
Wolves,2.6842105263157894,3.1052631578947367,2.894736842105263,20
